Rk_passing,Year_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 7_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%_passing,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,Year_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 7_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds_rushing,TD,1D_rushing,YBC,YBC/R,YAC_rushing,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%_rushing,Int,Rat,,Graph Metrics,Graph Totals,,Metrics,Wilson Totals,Fields Totals,Leader
52,2021,10/3/2021,4,4,32.308,SEA,@,SFO,W 28-21,16,23,149,6,23.1,125,5.4,62,3.9,2.7,87,5.4,1,4.50%,3,13.60%,3,10,6,3,12,42.90%,2,14,52,2021,4,4,32.308,SEA,@,SFO,W 28-21,4,26,1,2,26,6.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
53,2021,10/7/2021,5,5,32.312,SEA,,LAR,L 17-26,11,16,152,6,33.3,191,11.9,121,11,7.6,31,2.8,1,6.30%,2,12.50%,2,3,3,2,7,36.80%,1,7,53,2021,5,5,32.312,SEA,,LAR,L 17-26,2,10,0,1,10,5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
54,2021,11/14/2021,9,10,32.35,SEA,@,GNB,L 0-17,20,40,161,8,18.6,466,11.7,69,3.5,1.7,92,4.6,3,7.90%,8,21.10%,3,7,1,2,6,12.50%,5,6.4,54,2021,9,10,32.35,SEA,@,GNB,L 0-17,5,32,0,2,18,3.6,14,2.8,1,5,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
55,2021,11/21/2021,10,11,32.357,SEA,,ARI,L 13-23,14,26,207,9,30,282,10.8,137,9.8,5.3,70,5,4,16.00%,3,12.00%,4,12,1,2,7,23.30%,0,,55,2021,10,11,32.357,SEA,,ARI,L 13-23,2,2,0,1,1,0.5,1,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
56,2021,11/29/2021,11,12,33,SEA,@,WAS,L 15-17,20,31,247,8,24.2,279,9,151,7.6,4.9,96,4.8,0,0.00%,8,25.80%,2,10,3,8,13,38.20%,1,4,56,2021,11,12,33,SEA,@,WAS,L 15-17,2,16,0,1,9,4.5,7,3.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
57,2021,12/5/2021,12,13,33.006,SEA,,SFO,W 30-23,30,37,231,12,29.3,259,7,140,4.7,3.8,91,3,1,2.70%,5,13.50%,4,11,3,3,10,23.30%,2,8,57,2021,12,13,33.006,SEA,,SFO,W 30-23,3,15,0,0,15,5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
58,2021,12/12/2021,13,14,33.013,SEA,@,HOU,W 33-13,17,28,260,11,39.3,359,12.8,191,11.2,6.8,69,4.1,1,3.60%,7,25.00%,0,5,8,1,9,31.00%,1,8,58,2021,13,14,33.013,SEA,@,HOU,W 33-13,2,8,0,1,8,4,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
59,2021,12/21/2021,14,15,33.022,SEA,@,LAR,L 10-20,17,31,156,7,20.6,409,13.2,75,4.4,2.4,81,4.8,1,3.60%,5,17.90%,3,8,0,3,6,17.60%,0,,59,2021,14,15,33.022,SEA,@,LAR,L 10-20,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
60,2021,12/26/2021,15,16,33.027,SEA,,CHI,L 24-25,16,27,181,9,31,228,8.4,73,4.6,2.7,108,6.8,0,0.00%,6,22.20%,2,3,4,2,8,26.70%,1,10,60,2021,15,16,33.027,SEA,,CHI,L 24-25,2,13,0,1,13,6.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
61,2021,1/2/2022,16,17,33.034,SEA,,DET,W 51-29,20,29,236,13,43.3,217,7.5,115,5.8,4,121,6.1,3,10.70%,4,14.30%,1,15,4,2,7,21.90%,2,9.5,61,2021,16,17,33.034,SEA,,DET,W 51-29,6,24,0,3,5,0.8,19,3.2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
62,2021,1/9/2022,17,18,33.041,SEA,@,ARI,W 38-30,15,26,238,10,37,318,12.2,158,10.5,6.1,80,5.3,1,3.80%,8,30.80%,1,12,2,6,9,32.10%,1,4,62,2021,17,18,33.041,SEA,@,ARI,W 38-30,4,5,1,2,3,0.8,2,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
63,2022,9/12/2022,1,1,33.287,DEN,@,SEA,L 16-17,29,42,340,13,29.5,275,6.5,110,3.8,2.6,230,7.9,2,4.90%,6,14.60%,2,9,8,6,16,35.60%,1,2,63,2022,1,1,33.287,DEN,@,SEA,L 16-17,1,2,0,0,0,0,2,2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
64,2022,9/18/2022,2,2,33.293,DEN,,HOU,W 16-9,14,31,219,11,32.4,276,8.9,150,10.7,4.8,69,4.9,3,10.70%,6,21.40%,3,10,3,3,9,25.70%,1,4,64,2022,2,2,33.293,DEN,,HOU,W 16-9,2,3,0,0,3,1.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
65,2022,9/25/2022,3,3,33.3,DEN,,SFO,W 11-10,20,33,184,8,21.6,246,7.5,95,4.8,2.9,89,4.5,3,9.40%,5,15.60%,4,8,5,5,14,35.00%,3,6.7,65,2022,3,3,33.3,DEN,,SFO,W 11-10,6,17,0,1,16,2.7,1,0.2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
66,2022,10/2/2022,4,4,33.307,DEN,@,LVR,L 23-32,17,25,237,7,25,284,11.4,167,9.8,6.7,70,4.1,4,16.00%,3,12.00%,3,5,0,2,5,16.10%,3,8.7,66,2022,4,4,33.307,DEN,@,LVR,L 23-32,4,29,1,2,25,6.3,4,1,0,,1,1,1,0,0,-1,-1,2,2,-1,0,,0,0,0,79.2,,,,,,,,
67,2022,10/6/2022,5,5,33.311,DEN,,IND,L 9-12,21,39,274,11,25.6,366,9.4,98,4.7,2.5,176,8.4,3,8.10%,6,16.20%,4,8,3,3,10,22.20%,2,12,67,2022,5,5,33.311,DEN,,IND,L 9-12,4,22,0,1,22,5.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
68,2022,10/17/2022,6,6,33.322,DEN,@,LAC,L 16-19,15,28,188,8,25,267,9.5,116,7.7,4.1,72,4.8,0,0.00%,7,28.00%,4,15,4,2,10,29.40%,2,5,68,2022,6,6,33.322,DEN,@,LAC,L 16-19,4,23,0,1,19,4.8,4,1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
69,2022,10/30/2022,8,8,33.335,DEN,@,JAX,W 21-17,18,30,252,11,33.3,340,11.3,131,7.3,4.4,121,6.7,1,3.80%,3,11.50%,3,5,1,4,8,22.90%,2,7,69,2022,8,8,33.335,DEN,@,JAX,W 21-17,4,17,0,3,14,3.5,3,0.8,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
70,2022,11/13/2022,9,10,33.349,DEN,@,TEN,L 10-17,21,42,286,10,20.8,435,10.4,109,5.2,2.6,177,8.4,2,5.60%,6,16.70%,6,5,1,12,19,38.80%,1,9,70,2022,9,10,33.349,DEN,@,TEN,L 10-17,7,8,0,2,6,0.9,2,0.3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
71,2022,11/20/2022,10,11,33.356,DEN,,LVR,L 16-22,24,31,247,11,32.4,205,6.6,90,3.8,2.9,157,6.5,1,3.60%,3,10.70%,3,13,2,7,12,34.30%,1,8,71,2022,10,11,33.356,DEN,,LVR,L 16-22,1,8,0,0,8,8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
72,2022,11/27/2022,11,12,33.363,DEN,@,CAR,L 10-23,19,35,142,8,21.1,366,10.5,90,4.7,2.6,52,2.7,3,9.40%,6,18.80%,3,11,3,8,14,35.00%,2,4,72,2022,11,12,33.363,DEN,@,CAR,L 10-23,2,8,0,0,8,4,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
73,2022,12/4/2022,12,13,34.005,DEN,@,BAL,L 9-10,17,22,189,7,29.2,223,10.1,137,8.1,6.2,52,3.1,1,4.80%,2,9.50%,2,9,5,1,8,30.80%,2,10.5,73,2022,12,13,34.005,DEN,@,BAL,L 9-10,2,21,0,1,20,10,1,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
