Rk_passing,Year_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 7_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%_passing,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,Year_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 7_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds_rushing,TD,1D_rushing,YBC,YBC/R,YAC_rushing,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%_rushing,Int,Rat,,Graph Metrics,Graph Totals,,Metrics,Wilson Totals,Fields Totals,Leader
1,2018,9/9/2018,1,1,29.284,SEA,@,DEN,L 24-27,19,33,298,10,25.6,337,10.2,141,7.4,4.3,157,8.3,2,6.10%,7,21.20%,6,9,6,4,16,40.00%,1,5,1,2018,1,1,29.284,SEA,@,DEN,L 24-27,2,5,0,0,5,2.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Games Played,92,,Games Played,92 Games,46 Games,Wilson
2,2018,9/17/2018,2,2,29.292,SEA,@,CHI,L 17-24,22,36,226,10,23.8,289,8,158,7.2,4.4,68,3.1,1,3.00%,6,18.20%,6,5,12,2,20,44.40%,3,5.7,2,2018,2,2,29.292,SEA,@,CHI,L 17-24,3,17,0,2,9,3,8,2.7,1,3,0,0,0,0,0,0,,0,,,0,,0,0,,,,Passing Attempts,2831,,Record,50-42-0,15-31-0,Wilson
3,2018,9/23/2018,3,3,29.298,SEA,,DAL,W 24-13,16,26,192,10,35.7,241,9.3,108,6.8,4.2,84,5.3,2,8.30%,3,12.50%,2,8,4,4,10,35.70%,0,,3,2018,3,3,29.298,SEA,,DAL,W 24-13,2,-1,0,0,-1,-0.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Completions,1853,,Passing Attempts,2831,1118,Wilson
4,2018,9/30/2018,4,4,29.305,SEA,@,ARI,W 20-17,19,26,172,6,21.4,136,5.2,81,4.3,3.1,91,4.8,1,4.30%,3,13.00%,2,11,6,1,9,30.00%,2,5.5,4,2018,4,4,29.305,SEA,@,ARI,W 20-17,4,21,0,2,21,5.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Passing Yards,21477,,Completions,1853,684,Wilson
5,2018,10/7/2018,5,5,29.312,SEA,,LAR,L 31-33,13,21,198,9,39.1,240,11.4,139,10.7,6.6,59,4.5,0,0.00%,1,5.30%,2,4,6,1,9,39.10%,0,,5,2018,5,5,29.312,SEA,,LAR,L 31-33,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,Rushing Yards,2032,,Completion Percentage,65%,61%,Wilson
6,2018,10/14/2018,6,6,29.319,SEA,@,OAK,W 27-3,17,23,222,11,45.8,224,9.7,134,7.9,5.8,88,5.2,1,4.50%,1,4.50%,1,1,0,2,3,11.50%,2,7,6,2018,6,6,29.319,SEA,@,OAK,W 27-3,6,20,0,1,9,1.5,11,1.8,1,6,0,0,0,0,0,0,,0,,,0,,0,0,,,,First Down Passes,971,,Passing Yards,21477,7780,Wilson
7,2018,10/28/2018,7,8,29.333,SEA,@,DET,W 28-14,14,17,248,11,57.9,187,11,184,13.1,10.8,64,4.6,0,0.00%,3,17.60%,2,9,2,1,5,26.30%,0,,7,2018,7,8,29.333,SEA,@,DET,W 28-14,2,15,0,1,15,7.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,Average Yards Per Completion,11.59,11.37,Wilson
8,2018,11/4/2018,8,9,29.34,SEA,,LAC,L 17-25,26,39,235,10,23.3,234,6,105,4,2.7,130,5,1,2.70%,8,21.60%,4,6,3,3,10,21.30%,4,10,8,2018,8,9,29.34,SEA,,LAC,L 17-25,5,41,0,3,33,6.6,8,1.6,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,First Down Passes,971,340,Wilson
9,2018,11/11/2018,9,10,29.347,SEA,@,LAR,L 31-36,17,26,176,9,30,217,8.3,114,6.7,4.4,62,3.6,1,4.20%,4,16.70%,4,6,4,3,11,29.70%,7,9.9,9,2018,9,10,29.347,SEA,@,LAR,L 31-36,9,92,0,6,88,9.8,4,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,First Down Percentage,34%,30%,Wilson
10,2018,11/15/2018,10,11,29.351,SEA,,GNB,W 27-24,21,31,225,12,35.3,313,10.1,157,7.5,5.1,68,3.2,2,6.90%,3,10.30%,3,15,1,0,4,11.80%,0,,10,2018,10,11,29.351,SEA,,GNB,W 27-24,5,17,0,1,17,3.4,0,0,0,,1,1,-11,0,0,-10,-10,-1,-1,-10,0,,0,0,0,79.2,,,,,Rushing Yards,2032,2451,Fields
11,2018,11/25/2018,11,12,29.361,SEA,@,CAR,W 30-27,22,31,339,13,39.4,327,10.5,222,10.1,7.2,117,5.3,1,3.60%,3,10.70%,2,20,5,0,7,21.20%,0,,11,2018,11,12,29.361,SEA,@,CAR,W 30-27,3,4,0,1,4,1.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,Touchdowns,336,45,Wilson
12,2018,12/2/2018,12,13,30.003,SEA,,SFO,W 43-16,11,17,185,7,35,147,8.6,88,8,5.2,97,8.8,1,6.70%,2,13.30%,3,3,2,4,9,39.10%,3,5,12,2018,12,13,30.003,SEA,,SFO,W 43-16,4,14,0,0,12,3,2,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
13,2018,12/10/2018,13,14,30.011,SEA,,MIN,W 21-7,10,20,72,4,18.2,200,10,31,3.1,1.6,41,4.1,1,5.90%,6,35.30%,2,7,10,0,12,50.00%,2,25,13,2018,13,14,30.011,SEA,,MIN,W 21-7,7,61,0,4,61,8.7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
14,2018,12/16/2018,14,15,30.017,SEA,@,SFO,L 23-26,23,31,237,12,35.3,211,6.8,104,4.5,3.4,133,5.8,0,0.00%,3,10.70%,3,11,7,1,11,31.40%,1,5,14,2018,14,15,30.017,SEA,@,SFO,L 23-26,5,15,0,0,15,3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
15,2018,12/23/2018,15,16,30.024,SEA,,KAN,W 38-31,18,29,271,15,46.9,349,12,222,12.3,7.7,49,2.7,1,3.70%,7,25.90%,3,14,9,5,17,47.20%,4,15.3,15,2018,15,16,30.024,SEA,,KAN,W 38-31,8,57,0,2,19,2.4,38,4.8,1,8,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
16,2018,12/30/2018,16,17,30.031,SEA,,ARI,W 27-24,12,21,152,7,25.9,191,9.1,85,7.1,4,67,5.6,3,15.80%,1,5.30%,6,16,5,0,11,39.30%,1,1,16,2018,16,17,30.031,SEA,,ARI,W 27-24,2,-2,0,0,-2,-1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
17,2019,9/8/2019,1,1,30.283,SEA,,CIN,W 21-20,14,20,195,6,25,197,9.9,99,7.1,5,96,6.9,2,10.50%,3,15.80%,4,6,2,4,10,41.70%,0,,17,2019,1,1,30.283,SEA,,CIN,W 21-20,4,8,0,0,8,2,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
18,2019,9/15/2019,2,2,30.29,SEA,@,PIT,W 28-26,29,35,300,15,38.5,256,7.3,154,5.3,4.4,146,5,0,0.00%,3,8.60%,4,25,2,2,8,19.50%,2,12.5,18,2019,2,2,30.29,SEA,@,PIT,W 28-26,6,22,0,1,7,1.2,15,2.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
19,2019,9/22/2019,3,3,30.297,SEA,,NOR,L 27-33,32,50,406,18,36,552,11,294,9.2,5.9,112,3.5,0,0.00%,12,26.10%,0,7,11,3,14,25.90%,4,11,19,2019,3,3,30.297,SEA,,NOR,L 27-33,7,51,2,4,39,5.6,12,1.7,1,7,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
20,2019,9/29/2019,4,4,30.304,SEA,@,ARI,W 27-10,22,28,240,10,31.3,213,7.6,147,6.7,5.3,93,4.2,0,0.00%,3,11.10%,4,14,3,2,9,26.50%,2,3.5,20,2019,4,4,30.304,SEA,@,ARI,W 27-10,2,7,0,0,1,0.5,6,3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
21,2019,10/3/2019,5,5,30.308,SEA,,LAR,W 30-29,17,23,268,12,50,253,11,190,11.2,8.3,78,4.6,0,0.00%,4,18.20%,1,6,8,3,12,41.40%,5,5.6,21,2019,5,5,30.308,SEA,,LAR,W 30-29,8,32,0,2,29,3.6,3,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
22,2019,10/13/2019,6,6,30.318,SEA,@,CLE,W 32-28,23,33,295,17,47.2,280,8.5,152,6.6,4.6,143,6.2,2,6.30%,7,21.90%,3,21,4,2,9,22.00%,5,8,22,2019,6,6,30.318,SEA,@,CLE,W 32-28,9,31,1,2,30,3.3,1,0.1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
23,2019,10/20/2019,7,7,30.325,SEA,,BAL,L 16-30,20,41,241,10,23.8,459,11.2,177,8.9,4.3,64,3.2,3,7.90%,13,34.20%,1,17,6,7,14,31.80%,2,10,23,2019,7,7,30.325,SEA,,BAL,L 16-30,3,27,0,2,27,9,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
24,2019,10/27/2019,8,8,30.332,SEA,@,ATL,W 27-20,14,20,182,9,40.9,202,10.1,114,8.1,5.7,68,4.9,2,10.00%,2,10.00%,2,7,0,2,4,16.70%,2,3,24,2019,8,8,30.332,SEA,@,ATL,W 27-20,4,4,0,0,3,0.8,1,0.3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
25,2019,11/3/2019,9,9,30.339,SEA,,TAM,W 40-34,29,43,378,23,50,346,8,204,7,4.7,174,6,1,2.30%,7,16.30%,3,35,1,6,10,21.30%,1,21,25,2019,9,9,30.339,SEA,,TAM,W 40-34,1,21,0,1,19,19,2,2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
26,2019,11/11/2019,10,10,30.347,SEA,@,SFO,W 27-24,24,34,232,11,28.2,185,5.4,85,3.5,2.5,147,6.1,1,3.00%,2,6.10%,5,12,5,3,13,29.50%,5,10.8,26,2019,10,10,30.347,SEA,@,SFO,W 27-24,6,53,0,2,52,8.7,1,0.2,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
27,2019,11/24/2019,11,12,30.36,SEA,@,PHI,W 17-9,13,25,200,8,25.8,387,15.5,137,10.5,5.5,63,4.8,2,8.70%,5,21.70%,6,20,2,2,10,31.30%,1,16,27,2019,11,12,30.36,SEA,@,PHI,W 17-9,3,15,0,1,15,5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
28,2019,12/2/2019,12,13,31.003,SEA,,MIN,W 37-30,21,31,240,7,21.2,247,8,91,4.3,2.9,149,7.1,0,0.00%,7,22.60%,2,8,3,2,7,19.40%,3,4.7,28,2019,12,13,31.003,SEA,,MIN,W 37-30,4,13,0,0,13,3.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
29,2019,12/8/2019,13,14,31.009,SEA,@,LAR,L 12-28,22,36,245,9,22,395,11,169,7.7,4.7,76,3.5,1,3.00%,5,15.20%,5,18,5,5,15,33.30%,4,7,29,2019,13,14,31.009,SEA,@,LAR,L 12-28,5,28,0,1,23,4.6,5,1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
30,2019,12/15/2019,14,15,31.016,SEA,@,CAR,W 30-24,20,26,286,10,35.7,280,10.8,182,9.1,7,104,5.2,0,0.00%,4,16.70%,2,2,5,4,11,37.90%,1,1,30,2019,14,15,31.016,SEA,@,CAR,W 30-24,3,-1,0,0,-1,-0.3,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
31,2019,12/22/2019,15,16,31.023,SEA,,ARI,L 13-27,16,31,169,8,22.2,317,10.2,59,3.7,1.9,110,6.9,1,3.40%,7,24.10%,5,11,5,3,13,35.10%,1,6,31,2019,15,16,31.023,SEA,,ARI,L 13-27,2,2,0,0,2,1,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
32,2019,12/29/2019,16,17,31.03,SEA,,SFO,L 21-26,25,40,233,17,41.5,267,6.7,148,5.9,3.7,85,3.4,2,5.30%,7,18.40%,1,12,9,7,17,35.40%,7,3.6,32,2019,16,17,31.03,SEA,,SFO,L 21-26,8,29,0,1,23,2.9,6,0.8,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
33,2020,9/13/2020,1,1,31.289,SEA,@,ATL,W 38-25,31,35,322,15,39.5,205,5.9,162,5.2,4.6,160,5.2,1,2.90%,2,5.70%,3,13,4,6,13,33.30%,1,2,33,2020,1,1,31.289,SEA,@,ATL,W 38-25,3,29,0,1,25,8.3,4,1.3,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
34,2020,9/20/2020,2,2,31.296,SEA,,NWE,W 35-30,21,28,288,11,36.7,258,9.2,155,7.4,5.5,133,6.3,1,4.00%,3,12.00%,2,11,4,5,11,32.40%,4,9.5,34,2020,2,2,31.296,SEA,,NWE,W 35-30,5,39,0,4,36,7.2,3,0.6,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
35,2020,9/27/2020,3,3,31.303,SEA,,DAL,W 38-31,27,40,315,15,34.1,394,9.9,241,8.9,6,74,2.7,6,15.80%,2,5.30%,4,7,3,4,11,22.90%,4,6,35,2020,3,3,31.303,SEA,,DAL,W 38-31,6,22,0,1,22,3.7,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
36,2020,10/4/2020,4,4,31.31,SEA,@,MIA,W 31-23,24,34,360,17,47.2,305,9,192,8,5.6,168,7,1,3.00%,6,18.20%,2,11,2,3,7,18.90%,1,8,36,2020,4,4,31.31,SEA,@,MIA,W 31-23,4,5,0,1,3,0.8,2,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
37,2020,10/11/2020,5,5,31.317,SEA,,MIN,W 27-26,20,32,217,12,33.3,391,12.2,143,7.2,4.5,74,3.7,2,6.70%,7,23.30%,4,14,4,5,13,31.70%,5,11.6,37,2020,5,5,31.317,SEA,,MIN,W 27-26,5,58,0,3,58,11.6,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
38,2020,10/25/2020,6,7,31.331,SEA,@,ARI,L 34-37,33,50,388,21,40.4,451,9,230,7,4.6,158,4.8,2,4.20%,9,18.80%,2,26,6,7,15,26.30%,5,10,38,2020,6,7,31.331,SEA,@,ARI,L 34-37,6,84,0,3,81,13.5,3,0.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
39,2020,11/1/2020,7,8,31.338,SEA,,SFO,W 37-27,27,37,261,16,41,260,7,133,4.9,3.6,128,4.7,1,2.80%,6,16.70%,2,18,5,1,8,20.00%,1,21,39,2020,7,8,31.338,SEA,,SFO,W 37-27,6,23,0,1,23,3.8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
