Rk_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 6_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 6_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,,Graph Metrics,Graph Totals,,Metrics,Totals,,Player,Year
1,9/11/2022,1,1,23.19,CHI,,SFO,W 19-10,8,17,121,4,21.1,162,9.5,54,6.8,3.2,67,8.4,0,0.00%,7,41.20%,2,1,3,1,6,27.30%,3,5.3,1,1,1,23.19,CHI,,SFO,W 19-10,11,28,0,3,15,1.4,13,1.2,1,11,,Games Played,15,,Team,Chicago Bears,,Fields,2022
2,9/18/2022,2,2,23.197,CHI,@,GNB,L 10-27,7,11,70,2,14.3,121,11,37,5.3,3.4,33,4.7,1,9.10%,2,18.20%,3,4,2,2,7,43.80%,2,4,2,2,2,23.197,CHI,@,GNB,L 10-27,8,20,1,2,19,2.4,1,0.1,1,8,,Passing Attempts,318,,Games Played,15 Games,,,
3,9/25/2022,3,3,23.204,CHI,,HOU,W 23-20,8,17,106,5,22.7,153,9,61,7.6,3.6,45,5.6,2,12.50%,4,25.00%,5,4,2,3,10,38.50%,4,10.8,3,3,3,23.204,CHI,,HOU,W 23-20,8,47,0,2,35,4.4,12,1.5,0,,,Completions,192,,Record,3-12-0,,,
4,10/2/2022,4,4,23.211,CHI,@,NYG,L 12-20,11,22,174,6,21.4,215,9.8,97,8.8,4.4,77,7,2,10.00%,4,20.00%,6,16,1,5,12,34.30%,7,7.4,4,4,4,23.211,CHI,@,NYG,L 12-20,7,52,0,4,40,5.7,12,1.7,0,,,Passing Yards,2242,,Passing Attempts,318,,,
5,10/9/2022,5,5,23.218,CHI,@,MIN,L 22-29,15,21,208,9,39.1,173,8.2,87,5.8,4.1,121,8.1,2,9.50%,2,9.50%,2,5,2,1,5,17.20%,6,5.5,5,5,5,23.218,CHI,@,MIN,L 22-29,8,47,0,3,26,3.3,21,2.6,1,8,,Rushing Yards,1143,,Completions,192,,,
6,10/13/2022,6,6,23.222,CHI,,WAS,L 7-12,14,27,190,9,28.1,279,10.3,129,9.2,4.8,61,4.4,1,3.70%,8,29.60%,5,9,0,8,13,31.00%,10,8.6,6,6,6,23.222,CHI,,WAS,L 7-12,12,88,0,4,69,5.8,19,1.6,2,6,,First Down Passes,91,,Completion Percentage,60%,,,
7,10/24/2022,7,7,23.233,CHI,@,NWE,W 33-14,13,21,179,10,40,205,9.8,110,8.5,5.2,69,5.3,0,0.00%,5,23.80%,4,10,8,2,14,53.80%,1,20,7,7,7,23.233,CHI,@,NWE,W 33-14,14,82,1,7,68,4.9,14,1,0,,,,,,Passing Yards,2242,,,
8,10/30/2022,8,8,23.239,CHI,@,DAL,L 29-49,17,23,151,4,14.8,205,8.9,69,4.1,3,82,4.8,1,4.50%,1,4.50%,4,5,0,1,5,16.10%,4,12.5,8,8,8,23.239,CHI,@,DAL,L 29-49,8,60,1,5,39,4.9,21,2.6,0,,,,,,Average Yards Per Completion,11.68,,,
9,11/6/2022,9,9,23.246,CHI,,MIA,L 32-35,17,28,123,7,23.3,226,8.1,62,3.6,2.2,61,3.6,3,11.10%,6,22.20%,2,16,2,1,5,12.80%,9,15.7,9,9,9,23.246,CHI,,MIA,L 32-35,15,178,1,12,156,10.4,22,1.5,1,15,,,,,First Down Passes,91,,,
10,11/13/2022,10,10,23.253,CHI,,DET,L 30-31,12,20,167,6,26.1,198,9.9,102,8.5,5.1,65,5.4,0,0.00%,3,16.70%,3,10,6,0,9,34.60%,3,5,10,10,10,23.253,CHI,,DET,L 30-31,13,147,2,6,130,10,17,1.3,1,13,,,,,First Down Percentage,24.4,,,
11,11/20/2022,11,11,23.26,CHI,@,ATL,L 24-27,14,21,153,7,28,186,8.9,89,6.4,4.2,64,4.6,0,0.00%,3,15.80%,4,0,2,1,7,22.60%,6,6.3,11,11,11,23.26,CHI,@,ATL,L 24-27,18,85,1,7,62,3.4,23,1.3,0,,,,,,Rushing Yards,1143,,,
12,12/4/2022,13,13,23.274,CHI,,GNB,L 19-28,20,25,254,8,32,260,10.4,205,10.3,8.2,49,2.5,2,8.00%,3,12.00%,0,6,1,2,3,11.10%,2,3.5,12,13,13,23.274,CHI,,GNB,L 19-28,6,71,1,2,16,2.7,55,9.2,1,6,,,,,Touchdowns,8,,,
